"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,               ,               ,               ,               ,               ,               ,
2020-03-03,               ,               ,               ,               ,               ,               ,
2020-03-04,               ,               ,               ,               ,               ,               ,
2020-03-05,               ,               ,               ,               ,               ,               ,
2020-03-06,               ,               ,               ,               ,               ,               ,
2020-03-07,               ,               ,               ,               ,               ,               ,
2020-03-08,              3,               ,              3,               ,               ,               ,
2020-03-09,              3,            1.0,              0,               ,               ,               ,
2020-03-10,              3,            1.0,              0,               ,               ,               ,
2020-03-11,              3,            1.0,              0,               ,               ,               ,
2020-03-12,              3,            1.0,              0,               ,               ,               ,
2020-03-13,              3,            1.0,              0,               ,               ,               ,
2020-03-14,              5,          1.667,              2,               ,               ,               ,
2020-03-15,              5,            1.0,              0,               ,               ,               ,
2020-03-16,              8,            1.6,              3,               ,               ,               ,
2020-03-17,             10,           1.25,              2,               ,               ,               ,
2020-03-18,             14,            1.4,              4,              1,               ,              1,
2020-03-19,             18,          1.286,              4,              1,            1.0,              0,
2020-03-20,             20,          1.111,              2,              1,            1.0,              0,
2020-03-21,             24,            1.2,              4,              2,            2.0,              1,
2020-03-22,             27,          1.125,              3,              2,            1.0,              0,
2020-03-23,             33,          1.222,              6,              3,            1.5,              1,
2020-03-24,             39,          1.182,              6,              4,          1.333,              1,
2020-03-25,             39,            1.0,              0,              5,           1.25,              1,
2020-03-26,             44,          1.128,              5,              5,            1.0,              0,
2020-03-27,             48,          1.091,              4,              5,            1.0,              0,
2020-03-28,             48,            1.0,              0,              5,            1.0,              0,
2020-03-29,             48,            1.0,              0,              5,            1.0,              0,
2020-03-30,             49,          1.021,              1,              5,            1.0,              0,
2020-03-31,             51,          1.041,              2,              5,            1.0,              0,
2020-04-01,             54,          1.059,              3,              6,            1.2,              1,
2020-04-02,             56,          1.037,              2,              6,            1.0,              0,
2020-04-03,             61,          1.089,              5,              6,            1.0,              0,
2020-04-04,             70,          1.148,              9,              8,          1.333,              2,
2020-04-05,             88,          1.257,             18,              9,          1.125,              1,
2020-04-06,            123,          1.398,             35,             12,          1.333,              3,
