"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,               ,               ,               ,               ,               ,               ,
2020-03-03,               ,               ,               ,               ,               ,               ,
2020-03-04,               ,               ,               ,               ,               ,               ,
2020-03-05,               ,               ,               ,               ,               ,               ,
2020-03-06,               ,               ,               ,               ,               ,               ,
2020-03-07,              2,               ,              2,               ,               ,               ,
2020-03-08,              4,            2.0,              2,               ,               ,               ,
2020-03-09,              4,            1.0,              0,               ,               ,               ,
2020-03-10,              6,            1.5,              2,               ,               ,               ,
2020-03-11,              7,          1.167,              1,              1,               ,              1,
2020-03-12,             23,          3.286,             16,              1,            1.0,              0,
2020-03-13,             31,          1.348,              8,              1,            1.0,              0,
2020-03-14,             41,          1.323,             10,              2,            2.0,              1,
2020-03-15,             51,          1.244,             10,              2,            1.0,              0,
2020-03-16,             62,          1.216,             11,              2,            1.0,              0,
2020-03-17,             81,          1.306,             19,              2,            1.0,              0,
2020-03-18,             92,          1.136,             11,              2,            1.0,              0,
2020-03-19,            107,          1.163,             15,              3,            1.5,              1,
2020-03-20,            127,          1.187,             20,              3,            1.0,              0,
2020-03-21,            163,          1.283,             36,              3,            1.0,              0,
2020-03-22,            187,          1.147,             24,              3,            1.0,              0,
2020-03-23,            201,          1.075,             14,              3,            1.0,              0,
2020-03-24,            218,          1.085,             17,              3,            1.0,              0,
2020-03-25,            242,           1.11,             24,              3,            1.0,              0,
2020-03-26,            264,          1.091,             22,              3,            1.0,              0,
2020-03-27,            293,           1.11,             29,              3,            1.0,              0,
2020-03-28,            331,           1.13,             38,              7,          2.333,              4,
2020-03-29,            346,          1.045,             15,              8,          1.143,              1,
2020-03-30,            359,          1.038,             13,              8,            1.0,              0,
2020-03-31,            399,          1.111,             40,              8,            1.0,              0,
2020-04-01,            422,          1.058,             23,             10,           1.25,              2,
2020-04-02,            457,          1.083,             35,             10,            1.0,              0,
2020-04-03,            485,          1.061,             28,             14,            1.4,              4,
2020-04-04,            503,          1.037,             18,             17,          1.214,              3,
2020-04-05,            531,          1.056,             28,             20,          1.176,              3,
2020-04-06,            549,          1.034,             18,             22,            1.1,              2,
