"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              1,              0,              1,              0,              0,              0,
2020-02-26,              3,            3.0,              2,              0,              0,              0,
2020-02-27,              3,            1.0,              0,              0,              0,              0,
2020-02-28,              5,          1.667,              2,              0,              0,              0,
2020-02-29,              6,            1.2,              1,              0,              0,              0,
2020-03-01,              7,          1.167,              1,              0,              0,              0,
2020-03-02,              8,          1.143,              1,              0,              0,              0,
2020-03-03,              9,          1.125,              1,              0,              0,              0,
2020-03-04,             10,          1.111,              1,              0,              0,              0,
2020-03-05,             10,            1.0,              0,              0,              0,              0,
2020-03-06,             11,            1.1,              1,              0,              0,              0,
2020-03-07,             12,          1.091,              1,              0,              0,              0,
2020-03-08,             12,            1.0,              0,              0,              0,              0,
2020-03-09,             13,          1.083,              1,              0,              0,              0,
2020-03-10,             15,          1.154,              2,              0,              0,              0,
2020-03-11,             19,          1.267,              4,              0,              0,              0,
2020-03-12,             27,          1.421,              8,              0,              0,              0,
2020-03-13,             32,          1.185,              5,              0,              0,              0,
2020-03-14,             39,          1.219,              7,              0,              0,              0,
2020-03-15,             49,          1.256,             10,              0,              0,              0,
2020-03-16,             57,          1.163,              8,              0,              0,              0,
2020-03-17,             69,          1.211,             12,              0,              0,              0,
2020-03-18,             89,           1.29,             20,              0,              0,              0,
2020-03-19,            110,          1.236,             21,              1,              0,              1,
2020-03-20,            130,          1.182,             20,              1,            1.0,              0,
2020-03-21,            206,          1.585,             76,              1,            1.0,              0,
2020-03-22,            254,          1.233,             48,              1,            1.0,              0,
2020-03-23,            315,           1.24,             61,              1,            1.0,              0,
2020-03-24,            382,          1.213,             67,              1,            1.0,              0,
2020-03-25,            442,          1.157,             60,              1,            1.0,              0,
2020-03-26,            495,           1.12,             53,              3,            3.0,              2,
2020-03-27,            586,          1.184,             91,              3,            1.0,              0,
2020-03-28,            657,          1.121,             71,              5,          1.667,              2,
2020-03-29,            713,          1.085,             56,              6,            1.2,              1,
2020-03-30,            790,          1.108,             77,              6,            1.0,              0,
2020-03-31,            867,          1.097,             77,              6,            1.0,              0,
2020-04-01,            963,          1.111,             96,              6,            1.0,              0,
2020-04-02,           1011,           1.05,             48,              7,          1.167,              1,
2020-04-03,           1079,          1.067,             68,              8,          1.143,              1,
2020-04-04,           1126,          1.044,             47,             12,            1.5,              4,
2020-04-05,           1182,           1.05,             56,             15,           1.25,              3,
2020-04-06,           1222,          1.034,             40,             16,          1.067,              1,
2020-04-07,           1282,          1.049,             60,             18,          1.125,              2,
2020-04-08,           1343,          1.048,             61,             19,          1.056,              1,
2020-04-09,           1407,          1.048,             64,             20,          1.053,              1,
2020-04-10,           1495,          1.063,             88,             21,           1.05,              1,
