"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,               ,               ,               ,               ,               ,               ,
2020-03-03,               ,               ,               ,               ,               ,               ,
2020-03-04,               ,               ,               ,               ,               ,               ,
2020-03-05,               ,               ,               ,               ,               ,               ,
2020-03-06,               ,               ,               ,               ,               ,               ,
2020-03-07,               ,               ,               ,               ,               ,               ,
2020-03-08,               ,               ,               ,               ,               ,               ,
2020-03-09,              2,               ,              2,               ,               ,               ,
2020-03-10,              2,            1.0,              0,               ,               ,               ,
2020-03-11,              6,            3.0,              4,               ,               ,               ,
2020-03-12,             10,          1.667,              4,               ,               ,               ,
2020-03-13,             14,            1.4,              4,               ,               ,               ,
2020-03-14,             26,          1.857,             12,               ,               ,               ,
2020-03-15,             33,          1.269,              7,               ,               ,               ,
2020-03-16,             46,          1.394,             13,               ,               ,               ,
2020-03-17,             49,          1.065,              3,               ,               ,               ,
2020-03-18,             58,          1.184,              9,               ,               ,               ,
2020-03-19,             67,          1.155,              9,               ,               ,               ,
2020-03-20,             75,          1.119,              8,               ,               ,               ,
2020-03-21,             84,           1.12,              9,              1,               ,              1,
2020-03-22,             95,          1.131,             11,              1,            1.0,              0,
2020-03-23,            116,          1.221,             21,              1,            1.0,              0,
2020-03-24,            124,          1.069,              8,              3,            3.0,              2,
2020-03-25,            132,          1.065,              8,              3,            1.0,              0,
2020-03-26,            146,          1.106,             14,              3,            1.0,              0,
2020-03-27,            162,           1.11,             16,              5,          1.667,              2,
2020-03-28,            179,          1.105,             17,              5,            1.0,              0,
2020-03-29,            214,          1.196,             35,              6,            1.2,              1,
2020-03-30,            230,          1.075,             16,              7,          1.167,              1,
2020-03-31,            262,          1.139,             32,              8,          1.143,              1,
2020-04-01,            320,          1.221,             58,              9,          1.125,              1,
2020-04-02,            356,          1.113,             36,             10,          1.111,              1,
2020-04-03,            396,          1.112,             40,             11,            1.1,              1,
2020-04-04,            426,          1.076,             30,              9,          0.818,             -2,
