"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              1,              0,              1,              0,              0,              0,
2020-02-28,              2,            2.0,              1,              0,              0,              0,
2020-02-29,              3,            1.5,              1,              0,              0,              0,
2020-03-01,              4,          1.333,              1,              0,              0,              0,
2020-03-02,              4,            1.0,              0,              0,              0,              0,
2020-03-03,             10,            2.5,              6,              0,              0,              0,
2020-03-04,             14,            1.4,              4,              0,              0,              0,
2020-03-05,             19,          1.357,              5,              0,              0,              0,
2020-03-06,             21,          1.105,              2,              0,              0,              0,
2020-03-07,             27,          1.286,              6,              0,              0,              0,
2020-03-08,             35,          1.296,              8,              0,              0,              0,
2020-03-09,             90,          2.571,             55,              0,              0,              0,
2020-03-10,            262,          2.911,            172,              0,              0,              0,
2020-03-11,            514,          1.962,            252,              0,              0,              0,
2020-03-12,            674,          1.311,            160,              0,              0,              0,
2020-03-13,            804,          1.193,            130,              0,              0,              0,
2020-03-14,            836,           1.04,             32,              1,              0,              1,
2020-03-15,            864,          1.033,             28,              2,            2.0,              1,
2020-03-16,            914,          1.058,             50,              4,            2.0,              2,
2020-03-17,            977,          1.069,             63,              4,            1.0,              0,
2020-03-18,           1057,          1.082,             80,              4,            1.0,              0,
2020-03-19,           1151,          1.089,             94,              6,            1.5,              2,
2020-03-20,           1255,           1.09,            104,              9,            1.5,              3,
2020-03-21,           1326,          1.057,             71,             13,          1.444,              4,
2020-03-22,           1395,          1.052,             69,             13,            1.0,              0,
2020-03-23,           1460,          1.047,             65,             24,          1.846,             11,
2020-03-24,           1591,           1.09,            131,             32,          1.333,              8,
2020-03-25,           1724,          1.084,            133,             34,          1.062,              2,
2020-03-26,           1877,          1.089,            153,             41,          1.206,              7,
2020-03-27,           2046,           1.09,            169,             52,          1.268,             11,
2020-03-28,           2201,          1.076,            155,             65,           1.25,             13,
2020-03-29,           2395,          1.088,            194,             72,          1.108,              7,
2020-03-30,           2577,          1.076,            182,             77,          1.069,              5,
2020-03-31,           2860,           1.11,            283,             90,          1.169,             13,
2020-04-01,           3107,          1.086,            247,            104,          1.156,             14,
2020-04-02,           3386,           1.09,            279,            123,          1.183,             19,
2020-04-03,           3757,           1.11,            371,            139,           1.13,             16,
2020-04-04,           4077,          1.085,            320,            161,          1.158,             22,
2020-04-05,           4369,          1.072,            292,            179,          1.112,             18,
2020-04-06,           4681,          1.071,            312,            187,          1.045,              8,
2020-04-07,           5071,          1.083,            390,            203,          1.086,             16,
2020-04-08,           5402,          1.065,            331,            218,          1.074,             15,
2020-04-09,           5635,          1.043,            233,            237,          1.087,             19,
2020-04-10,           5819,          1.033,            184,            247,          1.042,             10,
