"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,              1,               ,              1,               ,               ,               ,
2020-03-02,              1,            1.0,              0,               ,               ,               ,
2020-03-03,              1,            1.0,              0,               ,               ,               ,
2020-03-04,              1,            1.0,              0,               ,               ,               ,
2020-03-05,              1,            1.0,              0,               ,               ,               ,
2020-03-06,              2,            2.0,              1,               ,               ,               ,
2020-03-07,              2,            1.0,              0,               ,               ,               ,
2020-03-08,              5,            2.5,              3,               ,               ,               ,
2020-03-09,              5,            1.0,              0,               ,               ,               ,
2020-03-10,              5,            1.0,              0,               ,               ,               ,
2020-03-11,              5,            1.0,              0,               ,               ,               ,
2020-03-12,              5,            1.0,              0,               ,               ,               ,
2020-03-13,              5,            1.0,              0,               ,               ,               ,
2020-03-14,             11,            2.2,              6,               ,               ,               ,
2020-03-15,             11,            1.0,              0,               ,               ,               ,
2020-03-16,             21,          1.909,             10,              1,               ,              1,
2020-03-17,             21,            1.0,              0,              1,            1.0,              0,
2020-03-18,             34,          1.619,             13,              2,            2.0,              1,
2020-03-19,             34,            1.0,              0,              2,            1.0,              0,
2020-03-20,             72,          2.118,             38,              2,            1.0,              0,
2020-03-21,            112,          1.556,             40,              3,            1.5,              1,
2020-03-22,            202,          1.804,             90,              3,            1.0,              0,
2020-03-23,            245,          1.213,             43,              3,            1.0,              0,
2020-03-24,            312,          1.273,             67,              6,            2.0,              3,
2020-03-25,            392,          1.256,             80,             10,          1.667,              4,
2020-03-26,            488,          1.245,             96,             10,            1.0,              0,
2020-03-27,            581,          1.191,             93,             20,            2.0,             10,
2020-03-28,            719,          1.238,            138,             28,            1.4,              8,
2020-03-29,            859,          1.195,            140,             39,          1.393,             11,
2020-03-30,            901,          1.049,             42,             42,          1.077,              3,
2020-03-31,           1109,          1.231,            208,             51,          1.214,              9,
2020-04-01,           1284,          1.158,            175,             57,          1.118,              6,
2020-04-02,           1380,          1.075,             96,             60,          1.053,              3,
2020-04-03,           1488,          1.078,            108,             68,          1.133,              8,
2020-04-04,           1578,           1.06,             90,             77,          1.132,              9,
