"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,              2,               ,              2,               ,               ,               ,
2020-02-29,              4,            2.0,              2,               ,               ,               ,
2020-03-01,              5,           1.25,              1,               ,               ,               ,
2020-03-02,              6,            1.2,              1,               ,               ,               ,
2020-03-03,              6,            1.0,              0,               ,               ,               ,
2020-03-04,              6,            1.0,              0,               ,               ,               ,
2020-03-05,              6,            1.0,              0,               ,               ,               ,
2020-03-06,              6,            1.0,              0,               ,               ,               ,
2020-03-07,              6,            1.0,              0,               ,               ,               ,
2020-03-08,              7,          1.167,              1,               ,               ,               ,
2020-03-09,              7,            1.0,              0,               ,               ,               ,
2020-03-10,              7,            1.0,              0,               ,               ,               ,
2020-03-11,             11,          1.571,              4,               ,               ,               ,
2020-03-12,             12,          1.091,              1,               ,               ,               ,
2020-03-13,             15,           1.25,              3,               ,               ,               ,
2020-03-14,             26,          1.733,             11,               ,               ,               ,
2020-03-15,             43,          1.654,             17,               ,               ,               ,
2020-03-16,             53,          1.233,             10,               ,               ,               ,
2020-03-17,             82,          1.547,             29,               ,               ,               ,
2020-03-18,             93,          1.134,             11,               ,               ,               ,
2020-03-19,            118,          1.269,             25,              1,               ,              1,
2020-03-20,            164,           1.39,             46,              1,            1.0,              0,
2020-03-21,            203,          1.238,             39,              2,            2.0,              1,
2020-03-22,            251,          1.236,             48,              2,            1.0,              0,
2020-03-23,            316,          1.259,             65,              3,            1.5,              1,
2020-03-24,            367,          1.161,             51,              4,          1.333,              1,
2020-03-25,            405,          1.104,             38,              5,           1.25,              1,
2020-03-26,            475,          1.173,             70,              6,            1.2,              1,
2020-03-27,            585,          1.232,            110,              8,          1.333,              2,
2020-03-28,            717,          1.226,            132,             12,            1.5,              4,
2020-03-29,            848,          1.183,            131,             16,          1.333,              4,
2020-03-30,            993,          1.171,            145,             20,           1.25,              4,
2020-03-31,           1094,          1.102,            101,             28,            1.4,              8,
2020-04-01,           1215,          1.111,            121,             29,          1.036,              1,
2020-04-02,           1378,          1.134,            163,             37,          1.276,              8,
2020-04-03,           1510,          1.096,            132,             50,          1.351,             13,
2020-04-04,           1688,          1.118,            178,             60,            1.2,             10,
2020-04-05,           1890,           1.12,            202,             79,          1.317,             19,
2020-04-06,           2143,          1.134,            253,             94,           1.19,             15,
