"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,              1,               ,              1,               ,               ,               ,
2020-02-29,              1,            1.0,              0,               ,               ,               ,
2020-03-01,              1,            1.0,              0,               ,               ,               ,
2020-03-02,              1,            1.0,              0,               ,               ,               ,
2020-03-03,              1,            1.0,              0,               ,               ,               ,
2020-03-04,              1,            1.0,              0,               ,               ,               ,
2020-03-05,              1,            1.0,              0,               ,               ,               ,
2020-03-06,              1,            1.0,              0,               ,               ,               ,
2020-03-07,              1,            1.0,              0,               ,               ,               ,
2020-03-08,              1,            1.0,              0,               ,               ,               ,
2020-03-09,              1,            1.0,              0,               ,               ,               ,
2020-03-10,              1,            1.0,              0,               ,               ,               ,
2020-03-11,              1,            1.0,              0,               ,               ,               ,
2020-03-12,              2,            2.0,              1,               ,               ,               ,
2020-03-13,              2,            1.0,              0,               ,               ,               ,
2020-03-14,              2,            1.0,              0,               ,               ,               ,
2020-03-15,              2,            1.0,              0,               ,               ,               ,
2020-03-16,              9,            4.5,              7,               ,               ,               ,
2020-03-17,              9,            1.0,              0,               ,               ,               ,
2020-03-18,              9,            1.0,              0,               ,               ,               ,
2020-03-19,             10,          1.111,              1,               ,               ,               ,
2020-03-20,             11,            1.1,              1,               ,               ,               ,
2020-03-21,             18,          1.636,              7,               ,               ,               ,
2020-03-22,             23,          1.278,              5,               ,               ,               ,
2020-03-23,             23,            1.0,              0,               ,               ,               ,
2020-03-24,             23,            1.0,              0,               ,               ,               ,
2020-03-25,             31,          1.348,              8,               ,               ,               ,
2020-03-26,             33,          1.065,              2,               ,               ,               ,
2020-03-27,             42,          1.273,              9,               ,               ,               ,
2020-03-28,             43,          1.024,              1,              1,               ,              1,
2020-03-29,             46,           1.07,              3,              1,            1.0,              0,
2020-03-30,             49,          1.065,              3,              1,            1.0,              0,
2020-03-31,             52,          1.061,              3,              1,            1.0,              0,
2020-04-01,             55,          1.058,              3,              1,            1.0,              0,
2020-04-02,             60,          1.091,              5,              1,            1.0,              0,
2020-04-03,             64,          1.067,              4,              1,            1.0,              0,
2020-04-04,             66,          1.031,              2,              1,            1.0,              0,
2020-04-05,             73,          1.106,              7,              1,            1.0,              0,
