"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,              1,               ,              1,               ,               ,               ,
2020-02-29,              1,            1.0,              0,               ,               ,               ,
2020-03-01,              1,            1.0,              0,               ,               ,               ,
2020-03-02,              1,            1.0,              0,               ,               ,               ,
2020-03-03,              2,            2.0,              1,               ,               ,               ,
2020-03-04,              3,            1.5,              1,               ,               ,               ,
2020-03-05,              4,          1.333,              1,               ,               ,               ,
2020-03-06,              4,            1.0,              0,               ,               ,               ,
2020-03-07,              5,           1.25,              1,               ,               ,               ,
2020-03-08,              5,            1.0,              0,               ,               ,               ,
2020-03-09,              5,            1.0,              0,               ,               ,               ,
2020-03-10,              5,            1.0,              0,               ,               ,               ,
2020-03-11,              5,            1.0,              0,               ,               ,               ,
2020-03-12,              5,            1.0,              0,               ,               ,               ,
2020-03-13,              6,            1.2,              1,               ,               ,               ,
2020-03-14,              8,          1.333,              2,               ,               ,               ,
2020-03-15,              8,            1.0,              0,               ,               ,               ,
2020-03-16,              8,            1.0,              0,               ,               ,               ,
2020-03-17,             20,            2.5,             12,               ,               ,               ,
2020-03-18,             20,            1.0,              0,               ,               ,               ,
2020-03-19,             28,            1.4,              8,               ,               ,               ,
2020-03-20,             52,          1.857,             24,               ,               ,               ,
2020-03-21,             52,            1.0,              0,               ,               ,               ,
2020-03-22,            102,          1.962,             50,               ,               ,               ,
2020-03-23,            102,            1.0,              0,               ,               ,               ,
2020-03-24,            205,           2.01,            103,               ,               ,               ,
2020-03-25,            283,           1.38,             78,               ,               ,               ,
2020-03-26,            368,            1.3,             85,               ,               ,               ,
2020-03-27,            368,            1.0,              0,               ,               ,               ,
2020-03-28,            514,          1.397,            146,              1,               ,              1,
2020-03-29,            514,            1.0,              0,              1,            1.0,              0,
2020-03-30,            589,          1.146,             75,              1,            1.0,              0,
2020-03-31,            647,          1.098,             58,              1,            1.0,              0,
2020-04-01,            708,          1.094,             61,              1,            1.0,              0,
2020-04-02,            797,          1.126,             89,              1,            1.0,              0,
2020-04-03,            868,          1.089,             71,              1,            1.0,              0,
2020-04-04,            950,          1.094,             82,              1,            1.0,              0,
2020-04-05,           1039,          1.094,             89,              1,            1.0,              0,
