"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,              1,               ,              1,               ,               ,               ,
2020-02-29,              1,            1.0,              0,               ,               ,               ,
2020-03-01,              1,            1.0,              0,               ,               ,               ,
2020-03-02,              1,            1.0,              0,               ,               ,               ,
2020-03-03,              1,            1.0,              0,               ,               ,               ,
2020-03-04,              1,            1.0,              0,               ,               ,               ,
2020-03-05,              1,            1.0,              0,               ,               ,               ,
2020-03-06,              1,            1.0,              0,               ,               ,               ,
2020-03-07,              1,            1.0,              0,               ,               ,               ,
2020-03-08,              1,            1.0,              0,               ,               ,               ,
2020-03-09,              2,            2.0,              1,               ,               ,               ,
2020-03-10,              2,            1.0,              0,               ,               ,               ,
2020-03-11,              2,            1.0,              0,               ,               ,               ,
2020-03-12,              2,            1.0,              0,               ,               ,               ,
2020-03-13,              2,            1.0,              0,               ,               ,               ,
2020-03-14,              2,            1.0,              0,               ,               ,               ,
2020-03-15,              2,            1.0,              0,               ,               ,               ,
2020-03-16,              2,            1.0,              0,               ,               ,               ,
2020-03-17,              3,            1.5,              1,               ,               ,               ,
2020-03-18,              8,          2.667,              5,               ,               ,               ,
2020-03-19,             12,            1.5,              4,               ,               ,               ,
2020-03-20,             12,            1.0,              0,               ,               ,               ,
2020-03-21,             22,          1.833,             10,               ,               ,               ,
2020-03-22,             30,          1.364,              8,               ,               ,               ,
2020-03-23,             40,          1.333,             10,              1,               ,              1,
2020-03-24,             44,            1.1,              4,              1,            1.0,              0,
2020-03-25,             51,          1.159,              7,              1,            1.0,              0,
2020-03-26,             65,          1.275,             14,              1,            1.0,              0,
2020-03-27,             70,          1.077,              5,              1,            1.0,              0,
2020-03-28,             97,          1.386,             27,              1,            1.0,              0,
2020-03-29,            111,          1.144,             14,              1,            1.0,              0,
2020-03-30,            131,           1.18,             20,              2,            2.0,              1,
2020-03-31,            135,          1.031,              4,              2,            1.0,              0,
2020-04-01,            174,          1.289,             39,              2,            1.0,              0,
2020-04-02,            184,          1.057,             10,              2,            1.0,              0,
2020-04-03,            210,          1.141,             26,              4,            2.0,              2,
