"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,              1,               ,              1,               ,               ,               ,
2020-03-02,              1,            1.0,              0,               ,               ,               ,
2020-03-03,              1,            1.0,              0,               ,               ,               ,
2020-03-04,              1,            1.0,              0,               ,               ,               ,
2020-03-05,              1,            1.0,              0,               ,               ,               ,
2020-03-06,              1,            1.0,              0,               ,               ,               ,
2020-03-07,              1,            1.0,              0,               ,               ,               ,
2020-03-08,              1,            1.0,              0,               ,               ,               ,
2020-03-09,              1,            1.0,              0,               ,               ,               ,
2020-03-10,              1,            1.0,              0,               ,               ,               ,
2020-03-11,              1,            1.0,              0,               ,               ,               ,
2020-03-12,              1,            1.0,              0,               ,               ,               ,
2020-03-13,              1,            1.0,              0,               ,               ,               ,
2020-03-14,              1,            1.0,              0,               ,               ,               ,
2020-03-15,              1,            1.0,              0,               ,               ,               ,
2020-03-16,              3,            3.0,              2,               ,               ,               ,
2020-03-17,              3,            1.0,              0,               ,               ,               ,
2020-03-18,              3,            1.0,              0,               ,               ,               ,
2020-03-19,              3,            1.0,              0,               ,               ,               ,
2020-03-20,              3,            1.0,              0,               ,               ,               ,
2020-03-21,              3,            1.0,              0,               ,               ,               ,
2020-03-22,              3,            1.0,              0,               ,               ,               ,
2020-03-23,              3,            1.0,              0,               ,               ,               ,
2020-03-24,              3,            1.0,              0,               ,               ,               ,
2020-03-25,              3,            1.0,              0,               ,               ,               ,
2020-03-26,              3,            1.0,              0,               ,               ,               ,
2020-03-27,              5,          1.667,              2,               ,               ,               ,
2020-03-28,              5,            1.0,              0,               ,               ,               ,
2020-03-29,              5,            1.0,              0,               ,               ,               ,
2020-03-30,              6,            1.2,              1,               ,               ,               ,
2020-03-31,              6,            1.0,              0,               ,               ,               ,
2020-04-01,              6,            1.0,              0,               ,               ,               ,
2020-04-02,              6,            1.0,              0,               ,               ,               ,
2020-04-03,              6,            1.0,              0,               ,               ,               ,
2020-04-04,              6,            1.0,              0,               ,               ,               ,
