"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              1,              0,              1,              0,              0,              0,
2020-03-07,              3,            3.0,              2,              0,              0,              0,
2020-03-08,              5,          1.667,              2,              0,              0,              0,
2020-03-09,              7,            1.4,              2,              0,              0,              0,
2020-03-10,              7,            1.0,              0,              0,              0,              0,
2020-03-11,             10,          1.429,              3,              0,              0,              0,
2020-03-12,             21,            2.1,             11,              0,              0,              0,
2020-03-13,             32,          1.524,             11,              0,              0,              0,
2020-03-14,             44,          1.375,             12,              0,              0,              0,
2020-03-15,             61,          1.386,             17,              0,              0,              0,
2020-03-16,             72,           1.18,             11,              0,              0,              0,
2020-03-17,             97,          1.347,             25,              0,              0,              0,
2020-03-18,            105,          1.082,              8,              0,              0,              0,
2020-03-19,            124,          1.181,             19,              0,              0,              0,
2020-03-20,            137,          1.105,             13,              0,              0,              0,
2020-03-21,            178,          1.299,             41,              0,              0,              0,
2020-03-22,            185,          1.039,              7,              0,              0,              0,
2020-03-23,            186,          1.005,              1,              0,              0,              0,
2020-03-24,            204,          1.097,             18,              0,              0,              0,
2020-03-25,            216,          1.059,             12,              0,              0,              0,
2020-03-26,            226,          1.046,             10,              0,              0,              0,
2020-03-27,            269,           1.19,             43,              0,              0,              0,
2020-03-28,            292,          1.086,             23,              0,              0,              0,
2020-03-29,            314,          1.075,             22,              0,              0,              0,
2020-03-30,            336,           1.07,             22,              0,              0,              0,
2020-03-31,            363,           1.08,             27,              0,              0,              0,
2020-04-01,            400,          1.102,             37,              1,              0,              1,
2020-04-02,            426,          1.065,             26,              1,            1.0,              0,
2020-04-03,            450,          1.056,             24,              1,            1.0,              0,
2020-04-04,            471,          1.047,             21,              1,            1.0,              0,
2020-04-05,            485,           1.03,             14,              1,            1.0,              0,
2020-04-06,            534,          1.101,             49,              2,            2.0,              1,
2020-04-07,            581,          1.088,             47,              2,            1.0,              0,
2020-04-08,            682,          1.174,            101,              2,            1.0,              0,
2020-04-09,            701,          1.028,             19,              2,            1.0,              0,
2020-04-10,            715,           1.02,             14,              2,            1.0,              0,
